Story Title,Author Name,Published Date,State,Theme,Story ID,Status,Deleted
'Afroz' became 'Afroz' after enduring hardships,India Story Project,,Uttar Pradesh,Environment | Food,3ba070e8-fa8f-4281-a454-e30b6809757a,Published,No
'Good sign' for the country,India Story Project,,Maharashtra,History | Spirituality,9629f761-a59a-4e94-84dc-e6080317d7b0,Published,No
'Jungle Habitat' in the city,India Story Project,,Madhya Pradesh,Science | Wildlife | Spirituality | Environment | Food,ae60ca9d-5082-4c61-8fe8-d8f9d3a0740b,Published,No
'Surma Bhopali' of farmers,India Story Project,,Madhya Pradesh,Science | Culture | Innovation | Spirituality | Art | Environment | Technology | Food,dc6e0fe9-c15f-43a3-93a1-f0e2c689e143,Published,No
A boon for the paralysed,India Story Project,,Andhra Pradesh,,b8dca12b-b443-4cc5-800c-3eadb9c0a686,Published,No
A Doctor Who Chose the Village Over the City,India Story Project,,Bihar,,af6a2bc5-5912-42d7-9a16-d930ba4f954f,Published,No
A friend of animals in need,India Story Project,,Rajasthan,,8e6c47c6-49e9-4fa0-b26d-912a5f833e2b,Published,No
A friend of the Voiceless,India Story Project,,Rajasthan,,3352fd29-3d47-4965-863c-b90198c8eeae,Published,No
A guardian angel of butterflies in uniform,India Story Project,,Arunachal Pradesh,,99206771-41b9-4623-9453-760b53abe3f6,Published,No
A monk scripting newer paradigms in agriculture,India Story Project,,Gujarat,,6c089901-d59e-46bd-aad0-de1d055238c9,Published,No
A spice revolution brewing in Indore,India Story Project,,Madhya Pradesh,Heritage,540cae7d-8d8a-4025-87b7-17dab70bbd9b,Published,No
A survivor like none,India Story Project,,Andhra Pradesh,Heritage,715d0ced-02b6-4742-aab6-37ebad649b8a,Published,No
A young ambidextrous wizard,India Story Project,,Karnataka,Heritage,f539cbac-2359-4507-8752-b59d9173ed0a,Published,No
Acharya 'Dasi' in the service of buffalo,India Story Project,,Gujarat,Environment,3e7623ee-4899-4f79-b8a1-ac4528a593b1,Published,No
Actors were shown the path by martyred 'Bhakt'.,India Story Project,,Gujarat,Heritage | Science | Culture | Spirituality | Environment,b921cef3-daf3-40f0-b461-95bbfda3a4e1,Published,No
Actors were shown the path by martyred 'Bhakt'.,India Story Project,,Gujarat,Heritage | Science | Culture | Spirituality | Environment,6d3933f4-0023-4cf4-9154-0ce9bd94bfd2,Published,No
Aditya on the journey of change,India Story Project,,Maharashtra,General,6b41a03d-11bc-4032-a3c2-1c71460b592f,Published,No
Affordable voice aid for needy,India Story Project,,Karnataka,Science | Innovation | Spirituality | Art | Environment | Technology,7ca293f7-0870-458b-9bfb-995071ab3399,Published,No
Agricultural Revolution in Neemuch,India Story Project,,Gujarat,Heritage | History | Innovation | Freedom Fighters | Wildlife | Spirituality | Environment | Technology | Food,4f1e38d2-07e0-4ded-aa27-17888c3a8992,Published,No
Air warrior turned activist,India Story Project,,Rajasthan,Heritage | Spirituality | Literature | Art | Environment,f5802ce1-b1ac-4aec-8284-3870d9c65ae5,Published,No
Ali Mir is an example,India Story Project,,Jammu and Kashmir,Heritage | Wildlife | Environment | Food,fcf8c23f-d9ee-4a97-8b68-3ab2ed637069,Published,No
An Alchemist of natural dyes,India Story Project,,Gujarat,Science | Culture | History | Architecture | Wildlife | Spirituality | Literature | Art | Technology | Festivals,7df512d7-be5f-4678-8940-82ed04889d80,Published,No
An effort for green energy,India Story Project,,Punjab,Heritage,5bf519f3-8b12-42b5-8343-13f61f214e3d,Published,No
An evangelist for fit and healthy India,India Story Project,,Madhya Pradesh,Science | Culture | Spirituality | Literature | Food,7d717aaf-c430-474d-918c-90118f9d6491,Published,No
An inspiring athlete like none,India Story Project,,Haryana,Freedom Fighters | Architecture | Art | Environment | Food,a5a3bd21-5f5a-4cbe-bf7a-27da8d5438f9,Published,No
An inspiring teacher,India Story Project,,Punjab,Science | Innovation | Architecture | Spirituality | Art | Environment,f61609e1-27c7-4889-ac64-86a37089a58d,Published,No
An orphan who is brewing success,India Story Project,,Assam,Culture | Spirituality | Art | Environment | Technology | Food,73efee9e-0b67-470b-bf1b-c0e7e8eb4c09,Published,No
Another name for passion and humanity is Bhagsetu.,India Story Project,,Gujarat,Wildlife | Art | Food,40690e92-fc76-44b2-8620-2d8ddc5982dd,Published,No
Another rebel from Ballia,India Story Project,,Assam,Spirituality | Environment,9a2ac988-b36e-40a3-b91a-bafb3272cb47,Published,No
Anything for education,India Story Project,,Gujarat,Spirituality | Art,1e188d3f-5901-486a-a311-a140a65b746a,Published,No
Archit is dedicated to the earth,India Story Project,,Bihar,Heritage | Science | History | Wildlife | Spirituality | Environment | Technology | Food,5ecaee0e-3d0b-433e-80f6-bc815f8b92fd,Published,No
Babita of change,India Story Project,,Chhattisgarh,Heritage | Wildlife | Environment | Technology,9baee4b2-7fc5-4c4e-9b52-597586fef2dc,Published,No
Bearer of local dialect and culture,India Story Project,,Madhya Pradesh,Science | Culture | Literature | Art,e7fdaf5a-3cf9-4309-9cc3-933604da9f63,Published,No
became an example,India Story Project,,Rajasthan,History,383cb435-0477-4a1b-ade8-bc93a07f72a6,Published,No
Becoming a source of green life,India Story Project,,Karnataka,Science | Culture | Architecture | Spirituality | Art | Environment | Food,37bee197-5229-44d5-a6b4-1829109e3ecc,Published,No
"Betrayed in love, destiny changed through hard work",India Story Project,,Gujarat,Innovation | Art,1fa25c7c-5eb5-4a57-b5f8-e539247e5c1e,Published,No
Big step for the environment,India Story Project,,Punjab,Heritage | Wildlife | Environment,7a6c15e8-63db-49c5-9267-33383c3e2733,Published,No
"Bino Devi, example of survival",India Story Project,,Manipur,Heritage | Culture | History | Wildlife | Spirituality | Literature | Art | Environment | Technology,b1803203-5f57-4cf5-ac12-96b30681fb50,Published,No
Blogger with a mission,India Story Project,,Delhi,Heritage | History | Freedom Fighters | Wildlife | Spirituality | Environment | Technology,863a8499-0b0b-485e-b9d0-7d7a1525d13f,Published,No
bread for every stomach,India Story Project,,Assam,Spirituality | Art | Environment | Food,df1c404f-52bf-4e1c-a8b6-0627cf8b9f55,Published,No
break the cage break the cage,India Story Project,,Rajasthan,History | Wildlife | Spirituality | Art,2e3a14e7-c851-4349-944b-682c976f715e,Published,No
breave heart,India Story Project,,Jharkhand,Heritage | Science | Culture | History | Freedom Fighters | Wildlife | Spirituality | Literature | Art | Environment,b1fd7841-9ed9-45a7-a554-f372c883b1e8,Published,No
Bringing happiness to parched villages,India Story Project,,Chhattisgarh,Heritage | Culture | Wildlife | Spirituality | Art | Environment | Technology,164f689e-4e8b-47ed-a47a-f11bcb3c0a67,Published,No
broken friend,India Story Project,,Nagaland,Science | Spirituality | Art,27781e57-ce52-45be-aef2-6209b31b6488,Published,No
Campaign to advance common heritage,India Story Project,,Jammu and Kashmir,Heritage | History | Freedom Fighters | Literature | Art | Food,3e328a53-5e4d-4fbb-b925-a9271b10948f,Published,No
Campaigner for good health as a national priority,India Story Project,,Goa,Science | Spirituality | Art,9a01dce6-b12d-486b-bedf-6e624e95cbad,Published,No
"Caring for river Sabarmati, a son from Haryana",India Story Project,,Gujarat,Heritage | Freedom Fighters | Wildlife | Art | Environment,22675122-45af-4d46-9740-2398d50eeb77,Published,No
Carving Wood to Glory,India Story Project,,Jammu and Kashmir,Heritage | Culture | Architecture | Wildlife | Art | Environment,14e643a0-9bbc-4d21-a170-9bacafde2f06,Published,No
